,rate,comps,nodes,LL_mean,LL_sd
277,0.001,6,63,-3.17888,0.391549
278,0.001,6,64,-3.59008,0.291875
279,0.001,6,66,-3.36831,0.236649
280,0.001,6,68,-3.54589,0.274998
281,0.001,6,69,-3.40548,0.339558
282,0.001,6,71,-3.36388,0.109194
283,0.001,6,73,-3.40075,0.287232
284,0.001,6,74,-3.25157,0.283267
285,0.001,6,76,-3.19251,0.469294
286,0.001,6,78,-3.21598,0.154699
287,0.001,6,79,-3.48813,0.141763
288,0.001,6,81,-3.21068,0.4302
289,0.001,6,83,-3.47688,0.387473
290,0.001,6,84,-3.21639,0.386769
291,0.001,6,86,-3.37071,0.411634
292,0.001,6,88,-3.38041,0.416526
293,0.001,6,89,-3.378,0.128697
294,0.001,6,91,-3.25665,0.414891
295,0.001,6,93,-3.50205,0.265822
296,0.001,6,94,-3.5249,0.283506
297,0.001,6,96,-3.52699,0.343976
298,0.001,6,98,-3.49579,0.63275
299,0.001,6,100,-3.47282,0.222574
300,0.001,7,21,-3.97182,0.223763
301,0.001,7,22,-3.71559,0.334588
302,0.001,7,24,-3.76312,0.179293
303,0.001,7,25,-3.5488,0.391497
304,0.001,7,27,-3.9458,0.29089
305,0.001,7,29,-3.61548,0.350589
306,0.001,7,30,-3.64344,0.622273
307,0.001,7,32,-3.86494,0.395597
308,0.001,7,33,-3.84195,0.622525
309,0.001,7,35,-3.8299,0.211137
310,0.001,7,37,-3.93797,0.352781
311,0.001,7,38,-3.63095,0.477546
312,0.001,7,40,-3.72892,0.427014
313,0.001,7,41,-3.44144,0.459582
314,0.001,7,43,-3.53746,0.373704
315,0.001,7,45,-3.81987,0.194986
316,0.001,7,46,-3.49637,0.642963
317,0.001,7,48,-3.70538,0.54041
318,0.001,7,50,-3.54329,0.348254
319,0.001,7,51,-3.64692,0.566527
320,0.001,7,53,-3.76472,0.411968
321,0.001,7,54,-3.89734,0.128229
322,0.001,7,56,-3.69094,0.414145
323,0.001,7,58,-3.62032,0.355309
324,0.001,7,59,-3.64785,0.425294
325,0.001,7,61,-3.51326,0.402106
326,0.001,7,62,-3.76755,0.28717
327,0.001,7,64,-3.52313,0.418305
328,0.001,7,66,-3.54136,0.231276
329,,,,,
330,,,,,
331,,,,,
332,,,,,
333,,,,,
334,,,,,
335,,,,,
336,,,,,
337,,,,,
338,,,,,
339,,,,,
340,,,,,
341,,,,,
342,,,,,
343,,,,,
344,,,,,
345,,,,,
346,,,,,
347,,,,,
348,,,,,
349,,,,,
350,,,,,
351,,,,,
352,,,,,
353,,,,,
354,,,,,
355,,,,,
356,,,,,
357,,,,,
358,,,,,
359,,,,,
360,,,,,
361,,,,,
362,,,,,
363,,,,,
364,,,,,
365,,,,,
366,,,,,
367,,,,,
368,,,,,
369,,,,,
370,,,,,
371,,,,,
372,,,,,
373,,,,,
374,,,,,
375,,,,,
376,,,,,
377,,,,,
378,,,,,
379,,,,,
380,,,,,
381,,,,,
382,,,,,
383,,,,,
384,,,,,
385,,,,,
386,,,,,
387,,,,,
388,,,,,
389,,,,,
390,,,,,
391,,,,,
392,,,,,
393,,,,,
394,,,,,
395,,,,,
396,,,,,
397,,,,,
398,,,,,
399,,,,,
400,,,,,
401,,,,,
402,,,,,
403,,,,,
404,,,,,
405,,,,,
406,,,,,
407,,,,,
408,,,,,
409,,,,,
410,,,,,
411,,,,,
412,,,,,
413,,,,,
414,,,,,
415,,,,,
416,,,,,
417,,,,,
418,,,,,
419,,,,,
420,,,,,
421,,,,,
422,,,,,
423,,,,,
424,,,,,
425,,,,,
426,,,,,
427,,,,,
428,,,,,
429,,,,,
430,,,,,
431,,,,,
432,,,,,
433,,,,,
434,,,,,
435,,,,,
436,,,,,
437,,,,,
438,,,,,
439,,,,,
440,,,,,
441,,,,,
442,,,,,
443,,,,,
444,,,,,
445,,,,,
446,,,,,
447,,,,,
448,,,,,
449,,,,,
450,,,,,
451,,,,,
452,,,,,
453,,,,,
454,,,,,
455,,,,,
456,,,,,
457,,,,,
458,,,,,
459,,,,,
460,,,,,
461,,,,,
462,,,,,
463,,,,,
464,,,,,
465,,,,,
466,,,,,
467,,,,,
468,,,,,
469,,,,,
470,,,,,
471,,,,,
472,,,,,
473,,,,,
474,,,,,
475,,,,,
476,,,,,
477,,,,,
478,,,,,
479,,,,,
480,,,,,
481,,,,,
482,,,,,
483,,,,,
484,,,,,
485,,,,,
486,,,,,
487,,,,,
488,,,,,
489,,,,,
490,,,,,
491,,,,,
492,,,,,
493,,,,,
494,,,,,
495,,,,,
496,,,,,
497,,,,,
498,,,,,
499,,,,,
